FIPS,hospitals,icu_beds,total_pop,60plus,
34015,1,14,291372,60833,
34017,6,105,679756,109974,
34019,1,12,125717,30279,
34021,4,92,373362,75299,
34023,5,185,837288,164627,
34025,5,152,627551,142622,
34027,3,91,498847,110520,
34029,4,106,589699,167321,
34031,2,97,510563,98279,
34033,2,19,63776,15640,
34035,1,28,333316,67698,
34037,1,10,143570,32694,
34039,3,80,557320,106249,
34041,2,20,107088,24579,
35001,5,138,674855,140933,
35003,0,0,3547,1793,
35005,2,24,65454,13924,
35006,2,4,27049,5804,
35007,1,4,12522,4281,
35009,1,8,50283,8363,
35011,0,0,2016,480,
35013,2,51,213849,41981,
35015,2,12,56793,11808,
35017,1,6,28382,9026,
35019,1,0,4426,1149,
35021,0,0,546,259,
35023,0,0,4446,1233,
35025,2,8,69505,10775,
35027,1,4,19497,6880,
35028,1,6,18031,4309,
35029,1,6,24319,6445,
35031,4,5,72849,11923,
35033,0,0,4605,1391,
35035,2,10,65130,14360,
35037,1,0,8447,2671,
35039,1,8,39455,9932,
35041,1,0,19313,3425,
35043,1,0,138815,30925,
35045,2,10,128221,23922,
35047,1,8,28203,7333,
35049,3,22,147514,42681,
35051,1,0,11254,4961,
35053,1,0,17098,4106,
35055,1,6,32809,10333,
35057,0,0,15534,4251,
35059,1,0,4216,1032,
35061,0,0,75845,17086,
36001,3,120,308580,67673,
36003,2,6,47400,11338,
36005,6,270,1455846,243010,
36007,2,47,196124,47891,
36009,1,0,78175,19443,
36011,1,14,78319,19140,
36013,3,26,130846,33458,
36015,2,20,86883,21007,
36017,1,7,48763,12688,
36019,1,21,81224,17868,
36021,1,9,61481,18429,
36023,1,12,48334,10162,
36025,3,0,45950,14201,
